view_mode,display_mode,dataset_id,dataset_name,metric_type,source_id,series_key,series_label,column,x_label,x_value,y_value,raw_unit,display_unit
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),0,2.2155266852773057,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),1000,2.213968042342322,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),2000,2.216066966860229,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),3000,2.2166193954386544,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),4000,2.22061170852603,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),5000,2.2185465721638837,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),6000,2.2185823664919395,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),7000,2.229008862854391,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),8000,2.2385884998753367,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),9000,2.2266458554083326,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),10000,2.2338934156902104,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),11000,2.225859689061731,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),12000,2.232511907271276,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),13000,2.2350213951405182,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),14000,2.2330960541349567,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),15000,2.218343416507469,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),16000,2.228804282902788,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),17000,2.226359803668408,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),18000,2.220430474528269,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),19000,2.226224984682048,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),20000,2.228764591985671,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),21000,2.231749744372877,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),22000,2.2357154435260256,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),23000,2.2311755947082,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),24000,2.236639240263454,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),25000,2.234013581451856,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),26000,2.2395536494078283,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),27000,2.2279692021442634,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),28000,2.24119812118067,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),29000,2.2450369177412184,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),30000,2.246555020045591,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),31000,2.2456207749741077,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),32000,2.249318998370504,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),33000,2.2371345148127246,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),34000,2.2402107995017504,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),35000,2.244760089914136,nm,nm
line,overlay,sdt3-homo,sdt3-homo,gyrate,5cpdb5hy,5cpdb5hy::Rg,sdt3-homo / Rg,Rg,Time (ps),36000,2.2330410899526103,nm,nm
